护盾撑不住了紫水栈桥,跑错机制反骂队友,Souma海猫茶屋
雪依拂晓之间,进度欺诈,我在天堂玩神拳痕
泽仔阿白银乡,冬瓜堡退恶意挂机,心梦渡旅人栈桥
恶灵琥珀原,巴哈神兵大稿子,zsng友情提示
Rexcl柔风海湾,巴哈喜欢找H2贴贴,十六五夜提供
趙雲琥珀原,巴哈踩塔七进七出炸塔,bcsy友情提示
破晓之际静语庄园,神兵1柱花了10s还没打掉,“慢点又怎么样”“你咋不抓没炸4柱的警呢”
这把我能躺吗海猫茶屋,,sy友情提供
珂·可莉雅摩杜纳,巴哈MT稿子,十六五夜提供
Sano摩杜纳,巴哈白魔抬过本，学者诈骗进度不会骗lb,松月20泥哥友情提供
华洛东华洛东,巴哈渡劫1个月没过本，疑似骗陪练，贴吧被挂2次,十六五夜提供
青袂紙鷲海猫茶屋, ,未知
青袂梦染海猫茶屋, ,未知
董媛媛海猫茶屋,日随名人，畸形操作，卖号找回，装备另类,微博与十六五夜提供
道枝千鸟海猫茶屋,2区白银皇帝 怪话连篇收保护费,贴吧众人提供
笨笨米紫水栈桥,8人仙药车近战输出1.3W,
废墟琥珀园,8人仙药车近战输出1.4W,
一只大花q琥珀园,8人仙药车近战输出1.7W,
盛夏蔚蓝静语庄园,8人仙药车近战输出1.84W死3次,
扬海猫茶屋,8人仙药车近战输出2.06W,
巴奈可琥珀园,8人仙药车不吃仙药打不过远敏,多次举报
希尔维斯琥珀园,8人仙药车法系输出1.39W,
布列瑟农紫水栈桥,8人仙药车法系输出1.78W,
为嗲告诉你紫水栈桥,8人仙药车诗人不解死宣,
